Tên sản phẩm,Số sao,Xuất xứ,Loại sản phẩm,Hệ thống phân phối,Từ khóa,Trang Web,Mô tả
Sữa chua nếp cẩm Myfarm,4,TP. Hà Nội,Sữa chua,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","sữa chua nếp cẩm, sữa chua nếp cẩm Myfarm, OCOP Hà Nội, OCOP 4 sao",,"Sữa trắng Ba Vì hòa quyện với nếp cẩm Tây Bắc tạo ra sản phẩm có hương vị tuyệt hảo, thơm ngon, bổ dưỡng, giúp cho cơ thể khỏe mạnh, phù hợp cho mọi lứa tuổi Sữa chua nếp cẩm Myfarm đã được UBND thành phố Hà Nội cấp giấy chứng nhận OCOP 4 sao ngày 4/3/2024."
Rau cải xanh hữu cơ Vinh Hà,4,TP. Hà Nội,Rau cải,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Rau cải xanh hữu cơ Vinh Hà, OCOP Hà Nội, OCOP 4 sao",,"Cải xanh được trồng hoàn toàn bằng phương pháp hữu cơ, rau có màu xanh, vị đắng nhẹ, cay mạnh. Loại cải này thường được dùng để luộc, nấu canh hoặc xào, dùng làm rau sống ăn kèm. Sản phẩm được cấp giấy chứng nhận OCOP 4 sao của thành phố Hà Nội ngày 4/3/2024."
Sữa chua trái cây vị chanh dây Myfarm,4,TP. Hà Nội,Sữa chua,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Sữa chua trái cây vị chanh dây Myfarm, sữa chua, OCOP Hà Nội, OCOP 4 sao, Hà Nội",,"Sữa chua chanh dây (yogurt passion fruit) là sự kết hợp vô cùng độc đáo giữa vị chua ngọt của chanh dây hòa quyện với vị béo thơm của sữa chua lên men tự nhiên, thích hợp để giải nhiệt cho những ngày nắng nóng. Món sữa chua vị chanh leo thơm ngon, mát lạnh, béo ngậy và có vị chua nhẹ."
Sữa tươi nông trại bò thanh trùng Myfarm,4,TP. Hà Nội,Sữa,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","sữa tươi, sữa tươi thanh trùng bò Myfarm, OCOP Hà Nội, OCOP 4 sao",,"Sữa tươi nông trại thanh trùng bò Myfarm được làm từ sữa tươi nguyên chất 100%. Sản phẩm của Công ty Cổ phần Sữa nông trại Ba Vì, đã được UBND thành phố Hà Nội cấp giấy chứng nhận OCOP 4 sao ngày 4/3/2024."
Kẹo dừa sáp nguyên chất,4,Trà Vinh,,,"Kẹo dừa sáp nguyên chất, ocop, ocop 4 sao",,"Kẹo dừa sáp nguyên chất được sản xuất bởi Công ty TNHH chế biến Dừa sáp Cầu Kè. Viên kẹo mềm mịn, ngọt thanh béo nhẹ, tan nhanh trong miệng nên rất ít dính răng, phù hợp người thích vị dừa sáp truyền thống.... Sản phẩm được cấp giấy chứng nhận OCOP 4 sao tại tỉnh Trà Vinh ngày 30/03/2021."
Bột rau ngót,4,TP. Hà Nội,Bột rau ngót,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Bột rau ngót, ocop, ocop 4 sao",,"Rau ngót có chứa hàm lượng vitamin A, vitamin C cao hơn các dòng quả bưởi, chanh, cam… Đây là thành phần quan trọng trong công đoạn sản xuất collagen, vận chuyển chất béo, điều chỉnh nồng độ cholesterol và miễn dịch. Sản phẩm được cấp giấy chứng nhận OCOP 4 sao TP Hà Nội ngày 7/4/2023."
Mật dừa nước tinh chất,4,TP. Hồ Chí Minh,Nước dừa,"https://vietnipa.com, các kênh bán lẻ, kênh online...","Mật dừa nước tinh chất, OCOP 4 sao, OCOP TP Hồ Chí Minh, mật dừa nước",,"Mật dừa nước tinh chất của thương hiệu VietNipa là sản phẩm được sản xuất bởi Công ty Cổ phần Dừa nước Việt Nam (VietNipa), được cấp giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm của Ban Quản lý An toàn thực phẩm Thành phố Hồ Chí Minh."
Dầu lạc nguyên chất SuperGreen,4,Quảng Trị,Dầu lạc,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","dầu lạc, OCOP 4 sao, OCOP Quảng Trị",,Dầu lạc nguyên chất Supergreen là sản phẩm của Công ty TNHH MTV Từ Phong. Sản phẩm sản xuất từ nguồn nguyên liệu nông trại sạch hữu cơ tại vùng đất nắng gió Quảng Trị và đã được cấp giấy chứng nhận OCOP 4 sao tỉnh Quảng Trị ngày 10/1/2023.
Bột rau má Đông Triều,4,Quảng Trị,Bột rau má,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","bột rau má, bột rau má Đông Triều, OCOP 4 sao, OCOP Quảng Trị",,"Quảng Trị với điều kiện khí hậu khắc nghiệt, thảo dược nơi đây có dược tính cao hơn nhiều vùng khác trong cả nước. Phát triển cây dược liệu là hướng phát triển của nông nghiệp tỉnh nhà. Nhận thấy được những tiềm năng của địa phương, tiềm năng phát triển của cây rau má, Hợp tác xã Nông nghiệp sạch Đông Triều đã xây dựng mô hình trồng và chế biến cây rau má dưới dạng bột nghiền mịn sấy lạnh đưa ra thị trường."
Sữa chua nha đam Myfarm,4,TP. Hà Nội,Sữa chua,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","sữa chua, sữa chua nha đam, OCOP Hà Nội, OCOP 4 sao",,"Sữa chua nha đam Ba Vì được kết hợp từ sữa chua Ba Vì ngọt dịu hòa quyện cùng hương vị nha đam thanh thanh, dai dai tan trong miệng, trở thành món ăn khoái khẩu của nhiều người từ trẻ em cho đến người lớn.. Sản phẩm được cấp giấy chứng nhận OCOP 4 sao tại Hà Nội ngày 4/3/2024."
Bơ lạc hữu cơ,4,TP. Hà Nội,Bơ lạc,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Bơ lạc hữu cơ, OCOP",,"Được chế biến từ lạc nhân đỏ đạt chứng nhận hữu cơ quốc tế thu hoạch từ thung lũng đá vôi có nhiều khoáng chất tại Hà Quảng, Cao Bằng, và đường mía hữu cơ đã tạo nên loại bơ lạc vừa béo ngậy vừa thơm ngon. Sản phẩm được cấp giấy chứng nhận OCOP 4 năm 2023."
Bún khô VAFOOD,4,TP. Hà Nội,Bún khô,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Bún khô ocop, ocop 4 sao",https://vafood.com.vn,"Bún khô VAFOOD có vị nguyên bản, độ giòn dai như bún tươi nhờ công nghệ sấy lạnh từ Nhật Bản. Chỉ cần 2 phút chần bún với nước sôi, sau đó thêm nước dùng là cả gia đình bạn đã có một bữa ăn thật ấm cúng, quây quần bên nhau. Sản phẩm được TP Hà Nội cấp giấy chứng nhận OCOP 4 sao năm 2023. ​"
Bún khô Phương Đông,4,TP. Hà Nội,Bún khô,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Bún khô Phương Đông, ocop, ocop4 sao",,"Bún khô Phương Đông sản xuất từ 100% gạo sạch nguyên chất. Từng hạt gạo được chắt lọc và lựa chọn kỹ lưỡng từ những cánh đồng lúa bạt ngàn của người dân. Với hương vị ngọt nhẹ tự nhiên của gạo hòa quyện cùng sự dai dai thơm béo của sợi bún tạo nên một hương vị thơm ngon, đậm đà."
Cà chua sạch Đông Anh,3,TP. Hà Nội,Cà chua,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","cà chua, OCOP, OCOP 3 sao",,"Cà chua sạch Đông Anh của Agora đang cung cấp cũng là 1 trong những sản phẩm chất lượng mà mảnh đất này đã nuôi trồng. Cà chua tươi chín và căng mọng, là một loại thực phẩm bổ dưỡng giàu Vitamin A, C. Đặc biệt là rất tốt cho sức khỏe."
Cà rốt sạch Đông Anh,3,TP. Hà Nội,Cà rốt,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Cà rốt sạch Đông Anh, ocop, ocop 3 sao",,"Cà rốt là loại thực phẩm rất quen thuộc, rất có ích cho sức khỏe vì chứa nhiều chất xơ nhưng ít calo và đường. Cà rốt cũng là thực phẩm lý tưởng cho thị lực, ngoài ra nó còn thúc đẩy khả năng miễn dịch và hỗ trợ điều trị nhiều bệnh mạn tính."
Hà thủ ô đỏ chế Kochi dạng bột,4,TP. Hà Nội,Hà thủ ô,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","hà thủ ô, OCOP Hà Nội, OCOP 4 sao",,"Hà thủ ô đỏ chế Kochi được làm từ nguyên liệu củ hà thủ ô đỏ có khối lượng trên 500g, được thu hái ở vùng rừng núi các tỉnh phía bắc Việt Nam. Phương pháp chế biến cổ truyền giúp loại bỏ độc tính của hà thủ ô đỏ tươi, đồng thời tăng tác dụng bổ dưỡng cho hà thủ ô đỏ chế Kochi. Sản phẩm được cấp chứng nhận OCOP 4 sao của thành phố Hà Nội ngày 7/4/2023."
Điền Bảo miến khoai tây,4,TP. Hà Nội,Miến khoai tây,"http://minhduong.com, các kênh bán lẻ, kênh online...","miến khoai tây, OCOP Hà Nội, OCOP 4 sao",,"Miến khoai tây được sản xuất từ 100% tinh bột khoai tây nên sợi miến dai, trắng, mướt và có vị thơm ngon đặc trưng. Khoai tây không những bổ sung hàm lượng protein, vitamin A,B,C giúp chống lão hóa, tăng cường miễn dịch, chống ung thư mà còn rất tốt cho người béo phì và người bị bệnh tim mạch."
Đậu phụ Quê mình,4,TP. Hà Nội,Đậu phụ,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","đậu phụ, OCOP Hà Nội, OCOP 4 sao",,"Đậu phụ Quê mình được làm 100% nguồn nguyên liệu đỗ tương Việt Nam, giống DT84, U9 trồng tại huyện Phúc Thọ (Hà Nội) và giống đỗ tương bản địa trồng tại huyện Hoàng Su Phì (Hà Giang). Đây là các giống đỗ tương không biến đổi gien (Non-GMO) rất an toàn và tốt cho sức khỏe."
Dầu gội dược liệu An Nữ Nhi,4,TP. Hà Nội,Dầu gội thảo dược,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Dầu gội dược liệu An Nữ Nhi, ocop, ocop 4 sao",,"Dầu gội An Nữ Nhi được chiết xuất từ dược liệu sạch, thiên nhiên tại vùng núi Ba Vì, mang giá trị truyền thống bản địa của người dân tộc Dao. Để tạo nên một sản phẩm hoàn hảo với phương châm chất lượng được cấu thành từ giá trị gốc."
Bánh chưng xanh Hải Yến 20,4,TP. Hà Nội,Bánh chưng,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Bánh chưng xanh Hải Yến 20, ocop, ocop 4 sao",,"Bánh chưng xanh Hải Yến 20 được làm từ gạo nếp cái hoa vàng chính hiệu, hạt to, tròn, bóng, mẩy. Cùng với đó là đỗ xanh, lòng vàng được lựa chọn kỹ lưỡng. Nhân bánh là thịt ba chỉ tươi ngon được lựa chọn từ lợn nuôi hữu cơ, nuôi hoàn toàn bằng rau, ngô, khoai, sắn. Lá dong dùng để gói bánh được chọn là loại lá dong nếp, to đều, xanh mướt không vàng úa, không sâu bệnh."
Bánh đa nem VAFOOD,4,TP. Hà Nội,Bánh đa nem,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Bánh đa nem VAFOOD, ocop, ocop 4 sao",http://vafood.com.vn,"Bánh đa, bánh tráng VAFOOD phù hợp để ăn các món gỏi cuốn, hoặc sử dụng để gói nem rán. Được sản xuất hoàn toàn từ nguyên liệu tự nhiên, không sử dụng chất bảo quản. Phơi sấy trong mô hình nhà xưởng khép kín, bảo đảm chất lượng và vệ sinh an toàn thực phẩm. Một sản phẩm không thể thiếu trong tủ đồ khô của các bà nội trợ"
Miến dong Phương Đông,4,TP. Hà Nội,Miến,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Miến dong Phương Đông, OCOP Hà Nội, OCOP 4 sao, miến dong",,"Miến dong Phương Đông giữ được hương vị hoàn toàn tự nhiên của bột dong. Sợi miến ăn giòn dai, khi nấu không dính và nát. Màu sắc miến trong suốt, đặc biệt có thể nấu lại tới hai lần mà sợi miến vẫn không bị dính nát. Sản phẩm được công nhận OCOP 4 sao của UBND thành phố Hà Nội ngày 7/4/2023."
Miến dong Minh Dương,4,TP. Hà Nội,,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Miến dong Minh Dương, OCOP Hà Nội, OCOP 4 sao, miến dong",,"Miến dong Minh Dương là loại thực phẩm xanh, lành mạnh, thích hợp cho những người ăn kiêng , người mắc bệnh tiểu đường, người thừa cân và gặp vấn đề về cân nặng. Đây là sản phẩm miến dong cao cấp đạt tiêu chuẩn xuất khẩu, đã được cấp giấy chứng nhận OCOP 4 sao của thành phố Hà Nội ngày 7/4/3023."
Miến khoai lang Minh Dương,4,TP. Hà Nội,Miến khoai lang,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Miến khoai lang Minh Dương, miến khoai lang, OCOP Hà Nội, OCOP 4 sao",http://minhduong.com,"Miến khoai lang đặc trưng bởi sự dai, hương vị đặc trưng. Sợi miến dẻo, dai, thơm mùi khoai lang. Thưởng thức miến khoai lang sẽ có cảm nhận hoàn toàn khác so với tất cả các loại miến khác. Sợi miến tròn, khi nấu lên trong, rất đẹp mắt hoàn toàn thuyết phục bất kỳ thực khách nào."
Mộc nhĩ Minh Dương,4,TP. Hà Nội,Mộc nhĩ,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Mộc nhĩ Minh Dương, OCOP Hà Nội, OCOP 4 sao, mộc nhĩ",,"Không chỉ là một loại thực phẩm góp phần cho các món ăn thêm ngon, mộc nhĩ cũng có tính chất dược liệu quan trọng và đã được sử dụng như một vị thuốc thảo dược trong các bài thuốc của y học cổ truyền. Có nhiều tác dụng tuyệt vời cho sức khỏe từ mộc nhĩ như chống oxy hóa, ngăn ngừa hiện tượng đông máu, giảm cân, ""quý nhân"" của làn da,..."
Nấm đùi gà,4,TP. Hà Nội,Nấm đùi gà,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Nấm đùi gà, ocop, ocop 4 sao",,"Nấm đùi gà là loại nấm có hình dạng giống một chiếc đùi gà. Nấm đùi gà chứa nhiều các vitamin, khoáng chất, hàm lượng protein cao gấp 4 lần các loại rau thông thường, giúp tăng cường sức đề kháng cho cơ thể, cải thiện hệ tiêu hóa, tăng khả năng miễn dịch. Đặc biệt, nó còn giúp giảm mỡ trong máu hiệu quả, điều chỉnh huyết áp và cải thiện hệ tuần hoàn máu."
Nấm hương,4,TP. Hà Nội,Nấm hương,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...",Nấm hương,,"Thành phần dinh dưỡng trong nấm hương cũng rất đa dạng và phong phú. Trong 100g nấm tươi có chứa: canxi, sắt, vitamin A, C, B, chất đường, đạm, enzym và các acid amin cần thiết cho cơ thể. Sản phẩm được UBND TP Hà Nội cấp giấy chứng nhận OCOP 4 sao ngày 07/04/2323."
Nấm ngọc châm nâu KMS,4,TP. Hà Nội,Nấm ngọc châm,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Nấm ngọc châm nâu KMS, ocop, ocop 4 sao",,"Nấm ngọc châm nâu KMS thân cây to, màu trắng ngọc hoặc nâu xám, cuống màu trắng hay nâu, cao từ 4-8 cm, mũ nấm nhỏ, bề mặt mũ có vân đá. Nấm có vị ngọt, giòn thơm đặc trưng khi thưởng thức, sản phẩm được UBND TP Hà Nội cấp giấy chứng nhận OCOP 4 sao ngày 7/4/2023."
Nấm ngọc châm trắng KMS,4,TP. Hà Nội,Nấm ngọc châm,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Nấm ngọc châm trắng KMS, ocop, ocop 4 sao",,"Nấm ngọc châm trắng thuộc nhóm nấm Ngọc. Nó còn có tên gọi khác là nấm hải sản, vì đặc tính và mùi vị giống hải sản. Mũ nấm ngọc châm trắng nhỏ, màu trắng, thân mập và dài. Trong nấm ngọc châm trắng chứa nhiều thành phần dinh dưỡng như: các vitamin, khoáng chất rất cần thiết cho cơ thể. Sản phẩm được cấp giấy chứng nhận OCOP 4 sao của Hà Nội."
Dấm gạo Hùng Thắng,4,TP. Hà Nội,Dấm gạo,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Dấm gạo Hùng Thắng, dấm gạo, OCOP Hà Nội, OCOP 4 sao",,"Dấm gạo Hùng Thắng được lên men từ gạo, sản xuất trên dây chuyền công nghệ lên men tự nhiên được thanh trùng ở áp suất và nhiệt độ cao 1.100 độ hay còn là công nghệ thanh trùng cao áp. Vì vậy, sản phẩm luôn bảo đảm về chất lượng vệ sinh an toàn thực phẩm và vẫn giữ được hương thơm đặc trưng của dấm lên men từ gạo."
Ngũ cốc lợi sữa Min Min Care,4,TP. Hà Nội,Bột ngũ cốc,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Ngũ cốc lợi sữa Min Min Care, OCOP Hà Nội, OCOP 4 sao, bột ngũ cốc",,"Ngũ cốc lợi sữa Min Min Care được làm từ nhiều loại hạt dinh dưỡng ngon, lành. Sản phẩm được cấp giấy chứng nhận OCOP 4 sao của thành phố Hà Nội ngày 4/3/2024."
Ngũ cốc mẹ bầu Min Min Care,4,TP. Hà Nội,Bột ngũ cốc,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Ngũ cốc mẹ bầu Min Min Care, OCOP Hà Nội, OCOP 4 sao, ngũ cốc",,Ngũ cốc mẹ bầu Min Min Care gồm 35 loại hạt ngũ cốc tự nhiên. Sản phẩm đã được cấp giấy chứng nhận OCOP 4 sao của thành phố Hà Nội ngày 4/3/2024.
Kẹo sữa dừa vị gừng Yến Hoàng,4,Bến Tre,,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Kẹo sữa dừa vị gừng Yến Hoàng, kẹo sữa dừa, OCOP Bến Tre, OCOP 4 sao, Bến Tre",,"Kẹo sữa dừa vị gừng Yến Hoàng làm từ nguyên liệu chính là cơm dừa, mạch nha, đường cát và gừng để tạo ra đặc sản kẹo dừa chất lượng cao với quy trình sản xuất, chế biến an toàn. Sản phẩm được cấp giấy chứng nhận OCOP 4 sao tỉnh Bến Tre ngày 28/9/2022."
Dầu dừa Thiên Ân,3,Bến Tre,Dầu dừa,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Dầu dừa Thiên Ân, Bến Tre, OCOP Bến Tre, OCOP 3 sao",,"Dầu dừa Bến Tre nhãn hiệu Thiên Ân, 100% nguyên chất mùi hương thơm béo dừa tự nhiên, màu vàng óng. Sản phẩm đã được cấp giấy chứng nhận OCOP 3 sao tỉnh Bến Tre ngày 29/12/2022."
Cao lạc tiên Mai Thị Thủy,3,Quảng Trị,Cao lạc tiên,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Cao lạc tiên Mai Thị Thủy, cao lạc tiên, OCOP Quảng Trị, OCOP 3 sao, Quảng Trị",,"Cao lạc tiên Mai Thị Thủy giúp mang đến giấc ngủ thật ngon từ thảo dược thiên nhiên. Sử dụng cao lạc tiên mỗi ngày để bảo vệ, nâng cao sức khỏe của bạn và gia đình, giúp gia đình bạn có một giấc ngủ ngon hơn. Sản phẩm được cấp giấy chứng nhận OCOP 3 sao tỉnh Quảng Trị ngày 13/1/2022."
Cao đinh lăng Nguyễn Thị Dung,3,Quảng Trị,Cao đinh lăng,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Cao đinh lăng Nguyễn Thị Dung, cao đinh lăng, OCOP Quảng Trị, OCOP 3 sao, Quảng Trị",,"Cao đinh lăng Panax fruticosum L Extract có hoạt chất chính là Saponin triterpenic. Dược liệu cao đinh lăng có dạng bột mịn với các màu nâu, nâu sẫm và nâu sáng. Trong củ đinh lăng có chứa nhiều Saponin có tác dụng như nhân sâm, nhiều vitamin. Ngoài ra, rễ còn chứa khoảng 13 loại axit amin không thể thay thế, rất cần thiết cho cơ thể con người, nhờ hoạt chất trong củ đinh lăng giúp cho tăng trí nhớ cho não bộ, một số đơn vị dược trong nước đã ứng dụng hoạt chất trong cây đinh lăng để làm thuốc bổ não."
Dầu mè đen nguyên chất SuperGreen,4,Quảng Trị,Dầu mè,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Dầu mè đen nguyên chất SuperGreen, OCOP QUảng Trị, OCOP 4 sao, Quảng Trị",,"Dầu mè đen (vừng đen) là một thực phẩm quý, đặc biệt, có giá trị dinh dưỡng và hàm lượng chất béo không bão hòa rất cao. Nếu có điều kiện sử dụng hằng ngày, dầu mè đen có tác dụng hạn chế và phòng ngừa cũng như chữa trị được rất nhiều bệnh đối với cơ thể con người."
Bơ lạc (Đậu phộng) Super Green,3,Quảng Trị,Bơ lạc,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","OCOP Quảng Trị, OCOP 3 sao, bơ lạc, bơ lạc Super Green, Quảng Trị",http://supergreenoil.vn/,"Bơ lạc (đậu phộng) là một thực phẩm lành mạnh vừa bổ dưỡng vừa thơm ngon. Nó cũng chứa nhiều chất đạm và các loại dầu có lợi cho sức khỏe như ngăn ngừa bệnh tim, ngăn ngừa tiểu đường."
Trà trinh nữ Hùng Anh,3,Quảng Trị,,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Trà trinh nữ Hùng Anh, OCOP 3 sao, OCOP Quảng Trị, Quảng Trị",,"Sản phẩm OCOP “Trà trinh nữ” là một loại trà thảo dược có nguồn gốc hoàn toàn từ thiên nhiên gồm: trinh nữ, cỏ xước, giải mã tiên, lá lốt, đinh lăng. Sản phẩm không sử dụng bất kỳ chất điều vị và phụ gia nào. Sản phẩm được chế biến theo công thức gia truyền áp dụng quy trình sản xuất đạt tiêu chuẩn chất lượng quốc tế ISO 22000;2018. Trà trinh nữ Hùng Anh được cấp giấy chứng nhận OCOP 3 sao tỉnh Quảng Trị ngày 13/1/2022."
Trà Sencha gạo lứt,4,Phú Thọ,Trà gạo lứt,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","OCOP Phú Thọ, OCOP 4 sao, Phú Thọ, trà sencha gạo lứt",,"Trà Sencha gạo lứt được sản xuất bởi Công ty TNHH Maika Food, sản phẩm được cấp giấy chứng nhận OCOP 4 sao tỉnh Phú Thọ ngày 29/11/2023."
Trà matcha sữa Maika Food,4,Phú Thọ,Trà sữa,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...X","trà sữa, OCOP 4 sao, OCOP Phú Thọ, trà sữa matcha Maika Food",,"Trà sữa matcha Maika Food là sản phẩm được sản xuất bởi công ty TNHH Maika Food, sản phẩm đạt danh hiệu công nghiệp nông thôn tiêu biểu cấp tỉnh năm 2021, đạt danh hiệu OCOP 4 sao ngày 25/9/2021 của tỉnh Phú Thọ."
Trà matcha sữa vị đào - Maika Food,4,Phú Thọ,Trà matcha,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","trà matcha sữa, OCOP Phú Thọ, OCOP 4 sao, Phú Thọ",,"Trà matcha sữa - vị đào Maika Food được làm từ bột trà matcha Maika, bột kem không sữa, bột sữa nguyên kem, đường kính, màu thực phẩm, hương tổng hợp thực phẩm (hương đào). Sản phẩm được cấp giấy chứng nhận OCOP 4 sao của tỉnh Phú Thọ ngày 18/11/2022."
Trà đinh lăng sấy lạnh Maika Food,4,Phú Thọ,Trà thảo dược,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","trà đinh lăng, trà đinh lăng sấy lạnh Maika Food, OCOP Phú Thọ, OCOP 4 sao, Phú Thọ",,"Trà đinh lăng sấy lạnh Maika Food dùng tốt cho người bị tiểu đường, huyết áp cao, người mất ngủ, Sản phẩm đã được cấp giấy chứng nhận OCOP 4 sao tỉnh Phú Thọ ngày 22/9/2022."
Bột diếp cá Đông Triều,4,Quảng Trị,Bột diếp cá,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","bột diếp cá, bột diếp cá Đông Triều, OCOP Quảng Trị, OCOP 4 sao, Quảng Trị",,Bột diếp cá Đông Triều là sản phẩm tiện dụng và đã được cấp giấy chứng nhận OCOP 4 sao tỉnh Quảng Trị ngày 10/1/2023.
Tinh dầu tràm củ nén Mộc San,4,Quảng Trị,Tinh dầu tràm,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Tinh dầu tràm củ nén Mộc San, tinh dầu tràm, OCOP Quảng Trị, OCOP 4 sao, Quảng Trị",,"Tinh dầu tràm ngâm củ nén Mộc San 50ml là dòng sản phẩm chất lượng cao của thương hiệu Mộc San, giúp mẹ chăm sóc sức khỏe cả gia đình hiệu quả. Sản phẩm có chiết xuất tự nhiên từ cây tràm gió thiên nhiên cùng sự phối hợp hài hòa của củ nén, mang tới công dụng tối đa."
Tinh dầu tràm Mộc San,4,Quảng Trị,Tinh dầu tràm,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Tinh dầu tràm Mộc San, tinh dầu trầm, OCOP Quảng Trị, OCOP 4 sao, Quảng Trị",,"Tinh dầu tràm Mộc San 50ml là dòng sản phẩm chất lượng cao của thương hiệu Mộc San, có chiết xuất từ cây tràm gió tự nhiên mang tới công dụng tối đa. Đây là sản phẩm của Hợp tác xã dược liệu Trường Sơn, được cấp giấy chứng nhận OCOP 4 sao tỉnh Quảng Trị ngày 10/1/2023."
Cao bồ kết thảo dược Nhiên Thảo,4,Quảng Trị,Cao bồ kết,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","cao bồ kết, cao bồ kết Nhiên Thảo, OCOP Quảng Trị, Quảng Trị, OCOP 4 sao",,"Cao thảo dược gội đầu truyền thống Nhiên Thảo không những làm sạch da đầu, trị gầu, hết ngứa, giảm rụng tóc, kích thích mọc tóc, đen tóc, điều tiết chất nhờn mà còn làm mềm mượt tóc, bóng tóc, lưu lại hương thơm tự nhiên, dễ chịu. Sản phẩm được cấp giấy chứng nhận OCOP 4 sao tỉnh Quảng Trị ngày 13/1/2022."
Bánh bao nhân xá xíu,4,TP. Hà Nội,Bánh bao,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","bánh bao, OCOP Hà Nội, OCOP 4 sao, Hà Nội",,"Bánh bao nhân xá xíu Phú Mỹ Bakery là món ăn thích hợp với người tiêu dùng ăn sáng, làm tiệc. Sản phẩm được sản xuất theo công nghệ hiện đại, mọi khâu từ tuyển chọn nguyên liệu tới chế biến, đóng gói đều diễn ra khép kín dưới sự giám sát và kiểm tra nghiêm ngặt. Sản phẩm không chứa hóa chất, chất bảo quản độc hại, bảo đảm an toàn cho sức khỏe người tiêu dùng."
Bánh bao chay sữa Phú Mỹ,4,TP. Hà Nội,Bánh bao,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Bánh bao chay sữa Phú Mỹ, OCOP Hà Nội, OCOP 4 sao, Hà Nội, bánh bao",,"Bánh bao chay sữa Phú Mỹ Bakery là món ăn thích hợp với người tiêu dùng ăn sáng, làm tiệc. Sản phẩm được sản xuất theo công nghệ hiện đại, mọi khâu từ tuyển chọn nguyên liệu tới chế biến, đóng gói đều diễn ra khép kín dưới sự giám sát và kiểm tra nghiêm ngặt. Sản phẩm không chứa hóa chất, chất bảo quản độc hại, bảo đảm an toàn cho sức khỏe người tiêu dùng."
Bún khô Pampa,3,Nam Định,Bún khô,"Website cơ sở sản xuất, các kênh bán lẻ, kênh online...","Bún khô Pampa, bún khô, OCOP Nam Định, OCOP 3 sao, Nam Định",,"Bún khô được làm từ một loại gạo đặc sản địa phương trồng theo phương pháp an toàn, không hóa chất bảo quản. Là bún khô nhưng hương vị tươi ngon như bún tươi. Sản phẩm được cấp giấy chứng nhận OCOP 3 sao tỉnh Nam Định ngày 27/12/2022."
